image_path,mask_path,original_image_id,original_image_path,tile_x,tile_y,water_label,water_coverage
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_5_1792_1792.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_5_1792_1792.tif,5,data_work/data_work/train_dataset_skoltech_train/train/images/5.tif,1792,1792,0,0.0
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_1_2560_3328.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_1_2560_3328.tif,1,data_work/data_work/train_dataset_skoltech_train/train/images/1.tif,2560,3328,0,0.0
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_2_512_3072.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_2_512_3072.tif,2,data_work/data_work/train_dataset_skoltech_train/train/images/2.tif,512,3072,0,0.0
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_1_2304_2304.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_1_2304_2304.tif,1,data_work/data_work/train_dataset_skoltech_train/train/images/1.tif,2304,2304,1,0.0001678466796875
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_1_0_7680.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_1_0_7680.tif,1,data_work/data_work/train_dataset_skoltech_train/train/images/1.tif,0,7680,1,9.1552734375e-05
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_4_3840_512.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_4_3840_512.tif,4,data_work/data_work/train_dataset_skoltech_train/train/images/4.tif,3840,512,0,0.0
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_4_512_3584.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_4_512_3584.tif,4,data_work/data_work/train_dataset_skoltech_train/train/images/4.tif,512,3584,0,0.0
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_1_1024_8960.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_1_1024_8960.tif,1,data_work/data_work/train_dataset_skoltech_train/train/images/1.tif,1024,8960,1,0.00286865234375
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_1_7168_2816.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_1_7168_2816.tif,1,data_work/data_work/train_dataset_skoltech_train/train/images/1.tif,7168,2816,0,0.0
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_6_1_3072_7936.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_6_1_3072_7936.tif,6_1,data_work/data_work/train_dataset_skoltech_train/train/images/6_1.tif,3072,7936,0,0.0
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_1_9728_4864.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_1_9728_4864.tif,1,data_work/data_work/train_dataset_skoltech_train/train/images/1.tif,9728,4864,1,0.006378173828125
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_6_2_4608_3328.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_6_2_4608_3328.tif,6_2,data_work/data_work/train_dataset_skoltech_train/train/images/6_2.tif,4608,3328,0,0.0
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_1_1792_7680.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_1_1792_7680.tif,1,data_work/data_work/train_dataset_skoltech_train/train/images/1.tif,1792,7680,1,0.001312255859375
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_4_2560_3328.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_4_2560_3328.tif,4,data_work/data_work/train_dataset_skoltech_train/train/images/4.tif,2560,3328,0,0.0
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_1_4864_1792.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_1_4864_1792.tif,1,data_work/data_work/train_dataset_skoltech_train/train/images/1.tif,4864,1792,0,0.0
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_1_9216_5120.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_1_9216_5120.tif,1,data_work/data_work/train_dataset_skoltech_train/train/images/1.tif,9216,5120,0,0.0
data_work/data_work/data_work_ds_and_cut/processed_data/images/tile_2_768_1024.tif,data_work/data_work/data_work_ds_and_cut/processed_data/masks/mask_2_768_1024.tif,2,data_work/data_work/train_dataset_skoltech_train/train/images/2.tif,768,1024,0,0.0
