image_tile_path,mask_tile_path,original_image,is_flooded,water_ratio
data_work_ds_and_cut/processed_data/images/1_tile_0_0.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_0.tif,1,1,0.0270538330078125
data_work_ds_and_cut/processed_data/images/1_tile_0_256.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_256.tif,1,0,0.0
data_work_ds_and_cut/processed_data/images/1_tile_0_512.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_512.tif,1,1,0.0294189453125
data_work_ds_and_cut/processed_data/images/1_tile_0_768.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_768.tif,1,1,0.1671905517578125
data_work_ds_and_cut/processed_data/images/1_tile_0_1024.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_1024.tif,1,1,0.038726806640625
data_work_ds_and_cut/processed_data/images/1_tile_0_1280.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_1280.tif,1,0,0.0
data_work_ds_and_cut/processed_data/images/1_tile_0_1536.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_1536.tif,1,0,0.0
data_work_ds_and_cut/processed_data/images/1_tile_0_1792.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_1792.tif,1,0,0.0
data_work_ds_and_cut/processed_data/images/1_tile_0_2048.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_2048.tif,1,0,0.0
data_work_ds_and_cut/processed_data/images/1_tile_0_2304.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_2304.tif,1,1,0.016082763671875
data_work_ds_and_cut/processed_data/images/1_tile_0_2560.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_2560.tif,1,1,0.0276336669921875
data_work_ds_and_cut/processed_data/images/1_tile_0_2816.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_2816.tif,1,0,0.0
data_work_ds_and_cut/processed_data/images/1_tile_0_3072.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_3072.tif,1,1,0.003326416015625
data_work_ds_and_cut/processed_data/images/1_tile_0_3328.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_3328.tif,1,1,0.0062255859375
data_work_ds_and_cut/processed_data/images/1_tile_0_3584.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_3584.tif,1,1,0.000823974609375
data_work_ds_and_cut/processed_data/images/1_tile_0_3840.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_3840.tif,1,0,0.0
data_work_ds_and_cut/processed_data/images/1_tile_0_4096.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_4096.tif,1,0,0.0
data_work_ds_and_cut/processed_data/images/1_tile_0_4352.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_4352.tif,1,0,0.0
data_work_ds_and_cut/processed_data/images/1_tile_0_4608.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_4608.tif,1,0,0.0
data_work_ds_and_cut/processed_data/images/1_tile_0_4864.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_4864.tif,1,1,0.0015411376953125
data_work_ds_and_cut/processed_data/images/1_tile_0_5120.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_5120.tif,1,1,7.62939453125e-05
data_work_ds_and_cut/processed_data/images/1_tile_0_5376.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_5376.tif,1,0,0.0
data_work_ds_and_cut/processed_data/images/1_tile_0_5632.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_5632.tif,1,1,0.001129150390625
data_work_ds_and_cut/processed_data/images/1_tile_0_5888.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_5888.tif,1,0,0.0
data_work_ds_and_cut/processed_data/images/1_tile_0_6144.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_6144.tif,1,1,0.0001220703125
data_work_ds_and_cut/processed_data/images/1_tile_0_6400.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_6400.tif,1,0,0.0
data_work_ds_and_cut/processed_data/images/1_tile_0_6656.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_6656.tif,1,1,0.00018310546875
data_work_ds_and_cut/processed_data/images/1_tile_0_6912.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_6912.tif,1,0,0.0
data_work_ds_and_cut/processed_data/images/1_tile_0_7168.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_7168.tif,1,1,0.00042724609375
data_work_ds_and_cut/processed_data/images/1_tile_0_7424.tif,data_work_ds_and_cut/processed_data/masks/1_tile_0_7424.tif,1,0,0.0
